,GPU MODEL,VRAM,H/s,APP,OS,TDP,DATE,GPU MODEL SPLIT
798,NVIDIA GEFORCE 1080,8 GB DDR5,535,XMR-STAK-NVIDIA,UBUNTU 16.10 x64,87 W,"Oct, 2017.",['NVIDIA GEFORCE 1080']
799,SAPPHIRE R9 280 3GB (@1160 / 1500 MHZ - 1.1V),3 GB DDR5,535,XMR-STAK,WINDOWS 10 x64,N/A,"Dec, 2017.","['SAPPHIRE R9 280 3GB (@1160', '1500 MHZ - 1.1V)']"
800,2X GTX 960 4GB & 2GB,6 GB DDR5,535,XRM-STAK-NVIDIA,WINDOWS 10 x64,140 W,"Dec, 2017.",['2X GTX 960 4GB & 2GB']
801,GTX 1070,4 GB DDR5,534,MINERGATE,WINDOWS 10 x64,150 W,"Jun, 2017.",['GTX 1070']
802,MSI R7 370,2 GB DDR5,532,CLAYMORE CRYPTONOTE 9.6,WINDOWS 8.1 x64,120 W,"Sep, 2016.",['MSI R7 370']
803,MSI R9 280,3 GB DDR5,532,CLAYMORE CRYPTONOTE GPU MINER V9.6,WINDOWS 10 x64,250 W,"Oct, 2016.",['MSI R9 280']
804,R9 380X STRIX,4 GB DDR5,530,CLAYMORE GPU MINER,WINDOWS 10 x64,N/A,"Oct, 2016.",['R9 380X STRIX']
805,R9 380 MSI GAMING,4 GB DDR5,530,CLAYMORE V9.6 BETA,WINDOWS 10 x64,N/A,"Jan, 2017.",['R9 380 MSI GAMING']
806,ASUS RX 470 STRIX,4 GB DDR5,530,CLAYMORE 9.6V,WINDOWS 10 x64,120 W,"Feb, 2017.",['ASUS RX 470 STRIX']
807,NVIDIA GTX 1060 FE +200 CORE CLOCK +600 MEM CLOCK,6 GB DDR5,530,XMR-STAK-NVIDIA THEADS: 8 BLOCKS: 160 BFACTOR: 8 BSLEEP: 100,WINDOWS 10 x64,N/A,"May, 2017.",['NVIDIA GTX 1060 FE +200 CORE CLOCK +600 MEM CLOCK']
808,ZOTAC GTX 780TI AMP,3 GB DDR5,530,MINERGATE V9 UBUNTU,UBUNTU 16.04 x64,N/A,"Sep, 2017.",['ZOTAC GTX 780TI AMP']
809,SAPPHIRE VAPORX 7950,3 GB DDR5,530,CLAYMORE CRYPTONIGHT 9.7,WINDOWS 10 x64,N/A,"Dec, 2017.",['SAPPHIRE VAPORX 7950']
810,GTX 1080 ZOTAC LOCK 800MV +80/+300,8 GB DDR5,530,CCMINER-X64-75,WINDOWS 10 x64,60 W,"Dec, 2017.",['GTX 1080 ZOTAC LOCK 800MV +80/+300']
811,NVIDIA GEFORCE GTX 980,4 GB DDR5,529,XMR-STAK-NVIDIA,MAC OS X,165 W,"Aug, 2017.",['NVIDIA GEFORCE GTX 980']
812,NVIDIA QUADRO P5000,16 GB DDR5,529,XMRMINER,CENTOS 7 x64,180 W,"Oct, 2017.",['NVIDIA QUADRO P5000']
813,ASUS 280X,3 GB DDR5,528,CLAYMORE 9.5,WINDOWS 10 x64,N/A,"Sep, 2016.",['ASUS 280X']
814,R9 380,2 GB DDR5,526,CRYPTONOTE GPU MINERO DE CLAYMORE,WINDOWS 7 x64,N/A,"Dec, 2016.",['R9 380']
815,SAPPHIRE DUAL-X R9-280X,3 GB DDR5,526,SGMINER-GM,UBUNTU 14.04 x64,N/A,"Jan, 2017.",['SAPPHIRE DUAL-X R9-280X']
816,NVIDIA GTX 1080,8 GB DDR5,525,CCMINER-CRYPTONIGHT-204,WINDOWS 10 x64,250 W,"Aug, 2017.",['NVIDIA GTX 1080']
817,MSI GAMING R9 380,4 GB DDR5,525,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA,WINDOWS 10 x64,N/A,"Dec, 2017.",['MSI GAMING R9 380']
818,ASUS STRIX GTX 1060 6GB (+150/+650),6 GB DDR5,525,XMR-STAK-NVIDIA,WINDOWS 10 x64,68 W,"Dec, 2017.",['ASUS STRIX GTX 1060 6GB (+150/+650)']
819,MSI R9 380,4 GB DDR5,525,XMR-AEON-STAK-2.1,WINDOWS 10 x64,68 W,"Dec, 2017.",['MSI R9 380']
820,SAPPHIRE R9 285 ITX COMPACT 2GB,2 GB DDR5,522,CLAYMORE'S CRYPTONIGHT GPU MINER 9.7,WINDOWS 10 x64,N/A,"Aug, 2017.",['SAPPHIRE R9 285 ITX COMPACT 2GB']
821,POWERCOLOR  R9 380,4 GB DDR5,521,CLAYMORE 9.7,WINDOWS 7 x64,N/A,"Feb, 2017.",['POWERCOLOR  R9 380']
822,MSI GTX 1060 3GB,3 GB DDR5,521,XMR-STAK-NVIDIA,WINDOWS 10 x64,75 W,"Aug, 2017.",['MSI GTX 1060 3GB']
823,XFX R9 380,4 GB DDR5,520,CLAYMORE 9.5,WINDOWS 10 x64,N/A,"Sep, 2016.",['XFX R9 380']
824,R9 380 POWERCOLOR,4 GB DDR5,520,CLAYMORE V9.6 BETA,WINDOWS 10 x64,N/A,"Jan, 2017.",['R9 380 POWERCOLOR']
825,SAPPHIRE R9 270X OC VAPOR-X,2 GB DDR3,520,CLAYMORE 9.7,WINDOWS 8.1 x64,N/A,"Jun, 2017.",['SAPPHIRE R9 270X OC VAPOR-X']
826,"EVGA NVIDIA GTX 1060 SC (GPU 2175, MEM 4580)",6 GB DDR5,520,XMR-STAK-NVIDIA 8T x 160B,WINDOWS 10 x64,120 W,"Aug, 2017.","['EVGA NVIDIA GTX 1060 SC (GPU 2175, MEM 4580)']"
827,ASUS STRIX R7 370,2 GB DDR5,520,CLAYMORE V9.7,WINDOWS 10 x64,N/A,"Dec, 2017.",['ASUS STRIX R7 370']
828,ASUS R9 270X (OC 1300MHZ/1500MHZ),2 GB DDR5,520,CLAYMORE 9.7,WINDOWS 10 x64,N/A,"Sep, 2017.",['ASUS R9 270X (OC 1300MHZ/1500MHZ)']
829,SAPPHIRE R7 370 (1100MHZ/1500MHZ) DRIVER CRIMSON BETA 9.14.20,2 GB DDR3,520,CLAYMORE 9.7,WINDOWS 7 x64,N/A,"Oct, 2017.",['SAPPHIRE R7 370 (1100MHZ/1500MHZ) DRIVER CRIMSON BETA 9.14.20']
830,NVIDIA QUADRO P5000,16 GB DDR5,519,XMRIG 2.3.1,WINDOWS 7 x64,180 W,"Sep, 2017.",['NVIDIA QUADRO P5000']
831,GTX 1080,8 GB DDR5,517,CCMINER,UBUNTU 16.04 x64,200 W,"Jan, 2017.",['GTX 1080']
832,SAPPHIRE R7 370 NITRO,4 GB DDR5,516,CLAYMORE CRYPTONOTE 9.6,WINDOWS 10 x64,100 W,"Oct, 2016.",['SAPPHIRE R7 370 NITRO']
833,XFX 270X,2 GB DDR5,516,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA - POOL,WINDOWS 10 x64,N/A,"Mar, 2017.",['XFX 270X']
834,HIS RADEON HD 7970 (OC 1125MHZ/1575MHZ),3 GB DDR5,515,XMR-STAK-AMD,ARCHLINUX x64,N/A,"Sep, 2017.",['HIS RADEON HD 7970 (OC 1125MHZ/1575MHZ)']
835,EVGA GTX980 SUPERCLOCKED,4 GB DDR5,515,XMR-STAK-NVIDIA,WINDOWS 10 x64,N/A,"Nov, 2017.",['EVGA GTX980 SUPERCLOCKED']
836,AMD 7970 GHZ EDITION GIGABYTE,3 GB DDR5,513,CLAYMORE CRYPTONOTE GPU MINER  V9.7 BETA,WINDOWS 10 x64,250 W,"May, 2017.",['AMD 7970 GHZ EDITION GIGABYTE']
837,ASUS R9 280 DC2T-3GD5,3 GB DDR5,513,CLAYMORE 9.6,WINDOWS 10 x64,240 W,"Sep, 2017.",['ASUS R9 280 DC2T-3GD5']
838,ZOTAC GTX 1060 (+950MHZ MEMORY CLOCK),6 GB DDR5,513,CCMINER,WINDOWS 7 x64,60 W,"Dec, 2017.",['ZOTAC GTX 1060 (+950MHZ MEMORY CLOCK)']
839,ASUS R9 380,2 GB DDR3,513,"XMR-STAK (LIGHTDM OFF, 12% SCLK OC, 730/8.",UBUNTU 16.04 x64,N/A,"Dec, 2017.",['ASUS R9 380']
840,GIGABYTE RADEON 7970,3 GB DDR5,512,NSGPUCNMINER,WINDOWS 10 x64,195 W,"Sep, 2016.",['GIGABYTE RADEON 7970']
841,ASUS HD 7970 DIRECTCU II,3 GB DDR5,512,CLAYMORE 9.7,WINDOWS 7 x64,N/A,"Dec, 2017.",['ASUS HD 7970 DIRECTCU II']
842,GIGABYTE RADEON R9 285 WINDFORCE 2X GV-R9285WF2OC-2GD,2 GB DDR5,511,CLAYMORE XMR GPU 9.7,WINDOWS 10 x64,164 W,"Sep, 2017.",['GIGABYTE RADEON R9 285 WINDFORCE 2X GV-R9285WF2OC-2GD']
843,ZOTAC MINI GTX1060 6GB GDDR5 (ZT-P10600A-10L SMALL),6 GB DDR5,511,"MINERGATE V7.1 GPU+5, RAM+600, MICRON",WINDOWS 8.1 x64,N/A,"Dec, 2017.",['ZOTAC MINI GTX1060 6GB GDDR5 (ZT-P10600A-10L SMALL)']
844,ZOTAC GTX 1060 AMP! 6GB,6 GB DDR5,510,XMRMINER_0.2.1,WINDOWS 10 x64,120 W,"Jul, 2017.",['ZOTAC GTX 1060 AMP! 6GB']
845,AMD R9 380X 4GB,4 GB DDR5,510,XMR-STAK-AMD,DEBIAN 9 x64,225 W,"Aug, 2017.",['AMD R9 380X 4GB']
846,MSI GTX 1060 ITX,6 GB DDR5,510,"CCMINER -L 30X40 (1771/4303 @ 800MV, 43W)",WINDOWS 10 x64,N/A,"Nov, 2017.",['MSI GTX 1060 ITX']
847,"SAPPHIRE R9 280 DUAL-X @ 1100, MEM@1480 MHZ",3 GB DDR5,510,"XMR-STAK-AMD, -832 -8",WINDOWS 8.1 x64,N/A,"Dec, 2017.","['SAPPHIRE R9 280 DUAL-X @ 1100, MEM@1480 MHZ']"
848,GTX 1060 3GB,3 GB DDR5,510,XMR-STAK,WINDOWS 10 x64,120 W,"Dec, 2017.",['GTX 1060 3GB']
849,GIGABYTE GTX 1060 WF2 3GB (OC 1972/9358),3 GB DDR5,509,MINERGATE 7.0,WINDOWS 10 x64,166 W,"Oct, 2017.",['GIGABYTE GTX 1060 WF2 3GB (OC 1972/9358)']
850,MSI GAMING GTX970 4G (MEMORY AT 8GHZ),4 GB DDR5,508,XMR-STARK-NVIDIA,MAC OS X,145 W,"Aug, 2017.",['MSI GAMING GTX970 4G (MEMORY AT 8GHZ)']
851,GIGABYTE HD 7970 OC,3 GB DDR5,505,CLAYMORE CRYPTONOTE GPU MINER V9.6,UBUNTU 15.10 x64,N/A,"Oct, 2016.",['GIGABYTE HD 7970 OC']
852,XFX 7970 DD GHZ @ 1200MHZ,3 GB DDR5,505,CLAYMORE  V9.7,WINDOWS 10 x64,N/A,"Jul, 2017.",['XFX 7970 DD GHZ @ 1200MHZ']
853,ASUS HD 6870 + HD 6850  DIRECT CUII (NO XFIRE),1 GB DDR5,505,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA (LOW INTENSITY MODE),WINDOWS 10 x64,393 W,"Aug, 2017.","['ASUS HD 6870', 'HD 6850  DIRECT CUII (NO XFIRE)']"
854,GYGABYTE 7870 OC 2GB(HYNIX) @1200/1250,2 GB DDR5,505,CLAYMORE 9.7,WINDOWS 10 x64,170 W,"Oct, 2017.",['GYGABYTE 7870 OC 2GB(HYNIX) @1200/1250']
855,"GIGABYTE RADEON RX 560, GV-RX560OC-2GD (MOD BIOS 1500 TIMINGS, 1320 CORE/1999 MEM, +10POWERLIMIT)",2 GB DDR5,505,CLAYMORE GPU 10.2,WINDOWS 7 x64,60 W,"Nov, 2017.","['GIGABYTE RADEON RX 560, GV-RX560OC-2GD (MOD BIOS 1500 TIMINGS, 1320 CORE/1999 MEM, +10POWERLIMIT)']"
856,MSI GTX 580 LIGHTNING XE 940/2300,3 GB DDR5,505,XMR-STAK-NVIDIA 32-32-6-25,WINDOWS 7 x64,200 W,"Dec, 2017.",['MSI GTX 580 LIGHTNING XE 940/2300']
857,VTX3D 270X-EDITION @ 1150/1500,2 GB DDR5,504,CLAYMORE CRYPTONIGHT 9.7 BETA,WINDOWS 10 x64,95 W,"Oct, 2017.",['VTX3D 270X-EDITION @ 1150/1500']
858,GAINWARD GTX 970 PHANTOM GPU @1531 MEM @8002,4 GB DDR5,503,XMRMINER 0.2.1  --LAUNCH=13X39 BFACTOR=6 BSLEEP=25,WINDOWS 10 x64,101 W,"Oct, 2017.",['GAINWARD GTX 970 PHANTOM GPU @1531 MEM @8002']
859,ASUS R9 280X,3 GB DDR5,502,CLAYMORE 6.X AT 1000/1500,UBUNTU 16.04 x64,140 W,"Sep, 2016.",['ASUS R9 280X']
860,POWERCOLOR R9 370X 2GB,2 GB DDR5,501,CLAYMORE CRYPTONOTE 9.7 BETA,WINDOWS 10 x64,N/A,"Sep, 2017.",['POWERCOLOR R9 370X 2GB']
861,POWERCOLOR HD 7850 (OC 1146/1493),2 GB DDR5,501,CLAYMORE 9.7,WINDOWS 10 x64,N/A,"Nov, 2017.",['POWERCOLOR HD 7850 (OC 1146/1493)']
862,R9 280X,8 GB DDR5,500,WOLF GPUMINER,UBUNTU 16.04 x64,150 W,"Sep, 2016.",['R9 280X']
863,2X SAPPHIRE RX 550 PULSE STOCK,4 GB DDR5,500,CLAYMORE 9.7,WINDOWS 10 x64,65 W,"Aug, 2017.",['2X SAPPHIRE RX 550 PULSE STOCK']
864,RX 570,4 GB DDR3,500,CLAYMORE 9.7,WINDOWS 10 x64,N/A,"Aug, 2017.",['RX 570']
865,GTX 1060,3 GB DDR5,500,CCMINER,WINDOWS 10 x64,65 W,"Sep, 2017.",['GTX 1060']
866,RADEON R9 270X,2 GB DDR5,500,CLAYMORE CRYPTONOTE GPU MINER,WINDOWS 10 x64,N/A,"Sep, 2017.",['RADEON R9 270X']
867,RX 470,4 GB DDR5,500,CLAYMORE 9.7,WINDOWS 7 x64,90 W,"Sep, 2017.",['RX 470']
868,R7 370 4GB,4 GB DDR5,500,CLAYMORE V9.7 (-a 1 -h 0) (1185/1370) +79% Pw. Ct.,WINDOWS 10 x64,160 W,"Sep, 2017.",['R7 370 4GB']
869,GIGABYTE R7 370-4GB,4 GB DDR5,500,CLAYMORE V9.7 BETA (1185/1370) +79% Power Control,WINDOWS 10 x64,160 W,"Sep, 2017.",['GIGABYTE R7 370-4GB']
870,MSI R9 380,4 GB DDR5,500,SIMPLEMINING,UBUNTU 17.04 x64,N/A,"Sep, 2017.",['MSI R9 380']
871,SAPPHIRE R9 270X DUAL-X OC 2GB,2 GB DDR5,500,CLAYMORE'S CRYPTONOTE GPU MINER V9.7 1200/1500 -2%,WINDOWS 10 x64,N/A,"Nov, 2017.",['SAPPHIRE R9 270X DUAL-X OC 2GB']
872,2X GTX 750TI,2 GB DDR5,500,XMR-STAK-NVIDIA,UBUNTU 16.10 x64,100 W,"Nov, 2017.",['2X GTX 750TI']
873,MSI R9 270X (1205/1500) -25MV,2 GB DDR5,500,CLAYMORE  V9.7,WINDOWS 10 x64,N/A,"Dec, 2017.",['MSI R9 270X (1205/1500) -25MV']
874,ASUS GEFORCE GTX 1060 TURBO 6GB,6 GB DDR5,500,XMR-STAK-WIN64,WINDOWS 8.1 x64,N/A,"Dec, 2017.",['ASUS GEFORCE GTX 1060 TURBO 6GB']
875,HIS 7950 ICEQ,3 GB DDR5,500,CLAYMORE AMD,WINDOWS 10 x64,200 W,"Jan, 2018.",['HIS 7950 ICEQ']
876,AMD RADEON HD 7970,3 GB DDR5,499,CLAYMORE GPU MINER 9.6 BETA,WINDOWS 7 x64,N/A,"Jan, 2017.",['AMD RADEON HD 7970']
877,ASUS STRIX 980TI,6 GB DDR5,496,XMR-STAK-WIN64,WINDOWS 10 x64,N/A,"Dec, 2017.",['ASUS STRIX 980TI']
878,HD 5970,2 GB DDR5,495,"CLAYMORE 9.6,  850/1250MHZ",WINDOWS 7 x64,N/A,"Oct, 2016.",['HD 5970']
879,1080 G1 GAMING OC 2138MHZ,8 GB DDR5,495,CCMINER 2.2.2 CUDA 9,WINDOWS 10 x64,86 W,"Nov, 2017.",['1080 G1 GAMING OC 2138MHZ']
880,ASUS GTX 1060 DUAL,6 GB DDR5,495,XMR-STAK,WINDOWS 10 x64,N/A,"Dec, 2017.",['ASUS GTX 1060 DUAL']
881,EVGA 1060 6GB SC SINGLE FAN,6 GB DDR5,495,XMRIG-NVIDIA -66 THREADS- 26 BLOCKS- 6 BFACTOR- 0 BSLEEP- AFFINE TO CPU TRUE,WINDOWS 10 x64,60 W,"Dec, 2017.",['EVGA 1060 6GB SC SINGLE FAN']
882,ASUS PHOENIX 1060 3G (HYNIX MEMORY),3 GB DDR5,494,"XMR-STAK-NVIDIA (t-32, b-36, OC MEMORY:+700mhz)",WINDOWS 10 x64,65 W,"Aug, 2017.",['ASUS PHOENIX 1060 3G (HYNIX MEMORY)']
883,MSI HD 7950 951/1200 1031 POWER,3 GB DDR5,494,MINERGATE 7.2 (DEC 24 2017),WINDOWS 10 x64,N/A,"Dec, 2017.",['MSI HD 7950 951/1200 1031 POWER']
884,MSI GTX980 TI SEA HAWK,6 GB DDR5,493,CCMINER_20140926,WINDOWS 10 x64,211 W,"Jan, 2017.",['MSI GTX980 TI SEA HAWK']
885,MSI 7950 TWIN FROZR 3GB OC,3 GB DDR5,493,CLAYMORE 9.6,WINDOWS 7 x64,N/A,"Jan, 2017.",['MSI 7950 TWIN FROZR 3GB OC']
886,POWERCOLOR R7 370,2 GB DDR5,491,CLAYMORE CRYPTONOTE GPU MINER V9.6 BETA,WINDOWS 10 x64,150 W,"Jan, 2017.",['POWERCOLOR R7 370']
887,MSI GTX 1060 3GB,3 GB DDR5,491,XMRMINER-WIN64-MASTER,WINDOWS 10 x64,75 W,"Aug, 2017.",['MSI GTX 1060 3GB']
888,MSI GTX 1060 3GB,3 GB DDR5,491,MINERGATE V.6.9,WINDOWS 10 x64,N/A,"Aug, 2017.",['MSI GTX 1060 3GB']
889,"SAPPHIRE R9 270X DUAL-X @ CORE 1185, MEM 1475",2 GB DDR5,490,CLAYMORE MINER V9.7 BETA  -A 1 -H 512,CENTOS 7 x64,N/A,"Nov, 2017.","['SAPPHIRE R9 270X DUAL-X @ CORE 1185, MEM 1475']"
890,NVIDIA GTX 670,2 GB DDR5,490,XMRIG-GPU-CUDA (T=36 B=14),WINDOWS 10 x64,102 W,"Dec, 2017.",['NVIDIA GTX 670']
891,RX 550 W CUSTOM HYNIX TIMINGS (GPU 1200 MEM 2000),2 GB DDR5,490,SGMINER 5.5.5,WINDOWS 10 x64,N/A,"Dec, 2017.",['RX 550 W CUSTOM HYNIX TIMINGS (GPU 1200 MEM 2000)']
892,ASUS DUAL-GTX1060-O3G (OVERCLOCKED),3 GB DDR5,488,"XMR-STAK-NVIDIA { ""index"" : 0, ""threads"" : 32, ""blocks"" : 27, ""bfactor :0, ""bsleep"" : 0,  ""affine_to_cpu"" : 7 }",WINDOWS 7 x64,120 W,"Aug, 2017.",['ASUS DUAL-GTX1060-O3G (OVERCLOCKED)']
893,RX 480 4GB,4 GB DDR5,488,XMR STAK AMD,WINDOWS 10 x64,N/A,"Aug, 2017.",['RX 480 4GB']
894,EVGA GTX 970 FTW,4 GB DDR5,485,XMR STAK NVIDIA,WINDOWS 8.1 x64,155 W,"May, 2017.",['EVGA GTX 970 FTW']
895,MSI NVIDIA GTX X GAMING 1060 3G,3 GB DDR5,485,XMR-STAK-NVIDIA,WINDOWS 10 x64,N/A,"Sep, 2017.",['MSI NVIDIA GTX X GAMING 1060 3G']
896,NVIDIA TESLA K80,12 GB DDR5,482,XMRMINER 0.1.0 (--LAUNCH=24X39),UBUNTU 14.04 x64,149 W,"Mar, 2017.",['NVIDIA TESLA K80']
897,MSI R9 270X  GAMING 2GB,2 GB DDR5,481,CLAYMORE 9.7 GUP1180  RAM 1500MHZ(6000MHZ),WINDOWS 7 x64,160 W,"Mar, 2017.",['MSI R9 270X  GAMING 2GB']
898,NVIDIA K80,24 GB DDR5,480,CCMINER-CRYPTONIGHT,UBUNTU 16.04 x64,N/A,"Jul, 2017.",['NVIDIA K80']
899,SAPPHIRE NITRO R7 370 2G,2 GB DDR3,480,CLAYMORE V9.7,WINDOWS 7 x64,120 W,"Jul, 2017.",['SAPPHIRE NITRO R7 370 2G']
900,MSI HD 7850 2GB TIMINGS,2 GB DDR3,480,CLAYMORE 9.7,WINDOWS 10 x64,95 W,"Oct, 2017.",['MSI HD 7850 2GB TIMINGS']
901,GTX 1060,6 GB DDR5,477,MINERGATE,WINDOWS 10 x64,90 W,"Oct, 2017.",['GTX 1060']
902,SAPPHIRE RX 560,2 GB DDR5,476,XMR-STAK,WINDOWS 10 x64,60 W,"Dec, 2017.",['SAPPHIRE RX 560']
903,GTX 970 STRIX 4GO,4 GB DDR5,475,XMR-STAK,UBUNTU 17.10 x64,99 W,"Nov, 2017.",['GTX 970 STRIX 4GO']
904,XFX HD 7870,2 GB DDR5,475,CLAYMORE 9.7,WINDOWS 7 x64,80 W,"Nov, 2017.",['XFX HD 7870']
905,"HIS AMD RADEON HD 7870 (1250 CORE, 1450 MEM @ 1.2MV)",2 GB DDR5,475,CLAYMORE V9.7,WINDOWS 10 x64,N/A,"Dec, 2017.","['HIS AMD RADEON HD 7870 (1250 CORE, 1450 MEM @ 1.2MV)']"
906,MSI RADEON HD 7870 TWINFROZR III OC,2 GB DDR5,474,"CLAYMORE 9.6 (1175 mV / 1300 MHz / 1375 MHz, 110 W above idle (wall))",WINDOWS 10 x64,110 W,"Aug, 2017.",['MSI RADEON HD 7870 TWINFROZR III OC']
907,HD 7850 MSI TWIN,2 GB DDR5,474,CLAYMORE CRYPTONOTE 9.7,WINDOWS 10 x64,70 W,"Sep, 2017.",['HD 7850 MSI TWIN']
908,GIGABYTE GEFORCE GTX 1050 TI OC LOW PROFILE 4G,4 GB DDR5,471,MINERGATE 7.2,WINDOWS 7 x64,75 W,"Dec, 2017.",['GIGABYTE GEFORCE GTX 1050 TI OC LOW PROFILE 4G']
909,MSI RADEON R9 280X,3 GB DDR5,470,CLAYMORE GPU MINER V9.6 BETA - POOL CATALYST 15.12,WINDOWS 8.1 x64,N/A,"Jan, 2017.",['MSI RADEON R9 280X']
910,ASUS R7 370OC,2 GB DDR5,470,CLAYMORE 9.6,WINDOWS 7 x64,131 W,"Jan, 2017.",['ASUS R7 370OC']
911,ASUS STRIX GTX 970,4 GB DDR5,470,XMR-STAK-NVIDIA,WINDOWS 7 x64,N/A,"Aug, 2017.",['ASUS STRIX GTX 970']
912,ASUS MINING P106-6G,6 GB DDR5,470,MINERGATE,WINDOWS 10 x64,110 W,"Sep, 2017.",['ASUS MINING P106-6G']
913,NVIDIA GTX 970,3 GB DDR5,470,XMRIG-NVIDIA,UBUNTU 16.04 x64,108 W,"Nov, 2017.",['NVIDIA GTX 970']
914,ASUS NVIDIA GTX 1060,6 GB DDR5,470,MINERGATE V.6.9,WINDOWS 7 x64,N/A,"Nov, 2017.",['ASUS NVIDIA GTX 1060']
915,GTX 970,4 GB DDR5,470,XMR-STAK-NVIDIA,WINDOWS 7 x64,70 W,"Dec, 2017.",['GTX 970']
916,ASUS R9 270 OC,2 GB DDR5,470,CLAYMORE 9.7,WINDOWS 10 x64,N/A,"Dec, 2017.",['ASUS R9 270 OC']
917,"SAPPHIRE HD7850 (CORE 1200MHZ, MEM 1450MHZ, VDDC 1100)",2 GB DDR5,470,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA -H 512 -LI 1,WINDOWS 7 x64,90 W,"Dec, 2017.","['SAPPHIRE HD7850 (CORE 1200MHZ, MEM 1450MHZ, VDDC 1100)']"
918,EVGA 1060 6GB SINGLE FAN (NOT SC/FTW),6 GB DDR5,470,XMRIG-NVIDIA -66 THREADS- 26 BLOCKS- 6 BFACTOR- 0 BSLEEP- AFFINE TO CPU TRUE| AFTERBURNER +100 CORE +400 MEM 60% TDP,WINDOWS 10 x64,62 W,"Dec, 2017.",['EVGA 1060 6GB SINGLE FAN (NOT SC/FTW)']
919,GALAX GTX 1060 EXOC,6 GB DDR5,470,XMRMINER,UBUNTU 16.04 x64,N/A,"Dec, 2017.",['GALAX GTX 1060 EXOC']
920,HD7950-DC2T-3GD5,3 GB DDR5,470,CLAYMORE CRYPTONOTE GPU MINER,WINDOWS 10 x64,200 W,"Dec, 2017.",['HD7950-DC2T-3GD5']
921,GTX 1060 3GB HYNIX,3 GB DDR5,470,CCMINER,WINDOWS 7 x64,62 W,"Dec, 2017.",['GTX 1060 3GB HYNIX']
922,SAPPHIRE HD 7850 1GB/OC (CORE @1275 MEMORY@1250),1 GB DDR5,469,CLAYMORE 9.7,WINDOWS 10 x64,N/A,"Sep, 2017.",['SAPPHIRE HD 7850 1GB/OC (CORE @1275 MEMORY@1250)']
923,EVGA GTX 970 SSC,4 GB DDR3,468,XMRIG-NVIDIA GPU #0: 1379/3505 MHZ 99W 66C FAN 16%,XUBUNTU 17.10 x64,99 W,"Dec, 2017.",['EVGA GTX 970 SSC']
924,GTX 1060 6GB,6 GB DDR3,467,XMR-STAK-NVIDIA,UBUNTU 16.04 x64,90 W,"Aug, 2017.",['GTX 1060 6GB']
925,NVIDIA GTX 970 (EVGA SSC),4 GB DDR5,467,"XMR-STAK-WIN64 (FIRST COMBINED VERSION) / BLOCKS:52, THREADS:8 / CORE@1500MHZ, MEM@3601MHZ / TEMPS@70C",WINDOWS 10 x64,120 W,"Dec, 2017.",['NVIDIA GTX 970 (EVGA SSC)']
926,2X NVIDIA QUADRO 5000,2 GB DDR3,466,XMRIG-NVIDIA-2.4.2-CUDA8-WIN64,WINDOWS 7 x64,152 W,"Nov, 2017.",['2X NVIDIA QUADRO 5000']
927,ASUS RADEON HD 7950 DCU2 TOP 3GB,3 GB DDR5,464,CLAYMORE 9.6,WINDOWS 7 x64,N/A,"Dec, 2016.",['ASUS RADEON HD 7950 DCU2 TOP 3GB']
928,MSI GTX 970 4GD5T OC,4 GB DDR5,464,XMR-STAK-NVIDIA,MAC OS X,145 W,"Dec, 2017.",['MSI GTX 970 4GD5T OC']
929,GTX 1070TI STRIX GAMING,11 GB DDR5,462,"XMR-STAK_NVIDIA (THREAD 52, BLOCKS 40, BFACTOR 6, BSLEEP 25)",WINDOWS 8.1 x64,N/A,"Dec, 2017.",['GTX 1070TI STRIX GAMING']
930,GEFORCE GTX 970,4 GB DDR5,461,"CCMINER-CRYPTONIGHT 1.03 (32-BIT), GPU@ 1500MHZ / GPUMEM @ 3530MHZ, --LAUNCH=32X13",WINDOWS 10 x64,112 W,"Nov, 2017.",['GEFORCE GTX 970']
931,SAPPHIRE HD 7850 DUAL X @ 1170 / 1375MH(Z),1 GB DDR5,461,"CLAYMORE 9.7 -H 480 -A 1 ON RISER CARD, NOTHING MORE!",WINDOWS 10 x64,N/A,"Dec, 2017.","['SAPPHIRE HD 7850 DUAL X @ 1170', '1375MH(Z)']"
932,MSI HD 7950 TWIN FROZR OC,3 GB DDR5,460,"SGMINER, UBUNTU 14.04.  STILT BIOS MOD. G/M 1100/1500",UBUNTU 14.04 x64,N/A,"Jan, 2017.",['MSI HD 7950 TWIN FROZR OC']
933,POWERCOLOR R7 370,2 GB DDR5,460,CLAYMORE CRYPTONOTE GPU MINER  V9.7 BETA,WINDOWS 7 x64,150 W,"Sep, 2017.",['POWERCOLOR R7 370']
934,GTX 970 GIGABYTE,4 GB DDR5,460,"XMR-STAK-NVIDIA-NOTLS (threads:38, blocks:26, bfactor:8, bsleep:100)",WINDOWS 7 x64,N/A,"Sep, 2017.",['GTX 970 GIGABYTE']
935,ASUS R7 370 4GB STIXX,4 GB DDR5,460,CLAYMORE V9.7 BETA,WINDOWS 10 x64,N/A,"Sep, 2017.",['ASUS R7 370 4GB STIXX']
